,Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Matches,LgRank,MP,Matches,Playing Time : MP,Matches
43,Adrian,2023-2024,36,Liverpool,eng ENG,EFL Cup,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
44,Adrian,2024-2025,37,Betis,,3. Conf Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
60,Divock Origi,2012-2013,17,Lille,fr FRA,1. Ligue 1,10,0,162,1.8,1,0,1,1,0,0,0,0,,,,,,,,0.56,0.00,0.56,0.56,0.56,,,,,,Matches,,,,,,
61,Divock Origi,2013-2014,18,Lille,fr FRA,1. Ligue 1,30,12,1284,14.3,5,0,5,5,0,0,1,0,,,,,,,,0.35,0.00,0.35,0.35,0.35,,,,,,Matches,,,,,,
62,Divock Origi,2014-2015,19,Lille,,2. Europa Lg,5,5,445,4.9,1,0,1,0,1,1,0,0,,,,,,,,0.20,0.00,0.20,0.00,0.00,,,,,,Matches,,,,,,
63,Divock Origi,2015-2016,20,Liverpool,,2. Europa Lg,12,6,596,6.6,2,1,3,2,0,0,1,0,,,,,,,,0.30,0.15,0.45,0.30,0.45,,,,,,Matches,,,,,,
64,Divock Origi,2016-2017,21,Liverpool,eng ENG,EFL Cup,6,4,357,4.0,3,0,3,3,0,0,1,0,,,,,,,,0.76,0.00,0.76,0.76,0.76,,,,,,Matches,,,,,,
65,Divock Origi,2017-2018,22,Wolfsburg,de GER,1. Bundesliga,31,22,1967,21.9,6,2,8,6,0,0,2,0,7.2,7.2,1.1,8.3,40,24,182,0.27,0.09,0.37,0.27,0.37,0.33,0.05,0.38,0.33,0.38,Matches,,,,,,
66,Divock Origi,2018-2019,23,Liverpool,,1. Champions Lg,8,2,221,2.5,3,0,3,3,0,0,0,0,0.9,0.9,0.0,0.9,7,4,19,1.22,0.00,1.22,1.22,1.22,0.36,0.00,0.36,0.36,0.36,Matches,,,,,,
67,Divock Origi,2019-2020,24,Liverpool,,1. Champions Lg,6,1,190,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,5,24,0.00,0.00,0.00,0.00,0.00,0.23,0.05,0.28,0.23,0.28,Matches,,,,,,
