Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 22_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Matches,MP,LgRank,MP,Matches,Matches
Gabriel Jesus,Palmeiras (2 Seasons),Palmeiras (2 Seasons),Palmeiras (2 Seasons),,2 Leagues,52,41,3962,44.0,20,9,29,20,0,0,17,1,,,,,,,,0.45,0.20,0.66,0.45,0.66,,,,,,,,,,,,
Gabriel Jesus,Premier League (9 Seasons),Premier League (9 Seasons),Premier League (9 Seasons),,,225,142,13139,146.0,73,40,113,69,4,7,31,0,82.8,78.2,24.2,102.4,312,320,1314,0.50,0.27,0.77,0.47,0.75,0.60,0.17,0.77,0.56,0.74,,,,,,,
Gabriel Jesus,EFL Cup (8 Seasons),EFL Cup (8 Seasons),EFL Cup (8 Seasons),,,22,12,1302,14.5,11,3,14,11,0,0,0,0,,,,,,,,0.76,0.21,0.97,0.76,0.97,,,,,,,,,,,,
Gabriel Jesus,Champions Lg (7 Seasons),Champions Lg (7 Seasons),Champions Lg (7 Seasons),,,51,30,2871,31.9,24,8,32,22,2,3,9,0,20.1,17.7,7.8,25.5,71,52,293,0.75,0.25,1.00,0.69,0.94,0.64,0.25,0.88,0.56,0.81,,,,,,,
Gabriel Jesus,FA Cup (5 Seasons),FA Cup (5 Seasons),FA Cup (5 Seasons),,,20,20,1732,19.2,10,6,16,10,0,1,1,0,,,,,,,,0.52,0.31,0.83,0.52,0.83,,,,,,,,,,,,
Gabriel Jesus,Série A (2 Seasons),Série A (2 Seasons),Série A (2 Seasons),,,47,38,3620,40.2,16,9,25,16,0,0,16,0,,,,,,,,0.40,0.22,0.62,0.40,0.62,,,,,,,,,,,,
Gabriel Jesus,Community Shield (2 Seasons),Community Shield (2 Seasons),Community Shield (2 Seasons),,,2,0,131,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Gabriel Jesus,Europa Lg (1 Season),Europa Lg (1 Season),Europa Lg (1 Season),,,6,3,254,2.8,0,1,1,0,0,0,1,0,1.2,1.2,1.4,2.6,8,7,25,0.00,0.35,0.35,0.00,0.35,0.43,0.49,0.93,0.43,0.93,,,,,,,
Gabriel Jesus,Libertadores (1 Season),Libertadores (1 Season),Libertadores (1 Season),,,5,3,342,3.8,4,0,4,4,0,0,1,1,,,,,,,,1.05,0.00,1.05,1.05,1.05,,,,,,,,,,,,
Oleksandr Zinchenko,2014-2015,17,Ufa,ru RUS,1. Premier League,7,2,237,2.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
