Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches,Matches
Jamal Musiala,2022-2023,19,Bayern Munich,de GER,1. Bundesliga,33,26,2198,24.4,12,10,22,12,0,0,1,0,8.0,8.0,6.6,14.6,89,124,196,0.49,0.41,0.90,0.49,0.90,0.33,0.27,0.60,0.33,0.60,Matches,,,,,,
Jamal Musiala,2023-2024,20,Bayern Munich,de GER,1. Bundesliga,24,20,1755,19.5,10,5,15,10,0,0,2,0,7.9,7.9,6.0,13.9,103,100,163,0.51,0.26,0.77,0.51,0.77,0.40,0.31,0.71,0.40,0.71,Matches,,,,,,
Jamal Musiala,2024-2025,21,Bayern Munich,de GER,1. Bundesliga,12,11,917,10.2,8,1,9,8,0,0,2,0,4.8,4.8,2.1,6.9,36,60,82,0.79,0.10,0.88,0.79,0.88,0.47,0.21,0.68,0.47,0.68,Matches,,,,,,
Javi Martinez,2020-2021,31,Bayern Munich,de GER,1. Bundesliga,19,4,466,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,7,36,5,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches,,,,,,
Douglas Costa,2020-2021,29,Bayern Munich,de GER,1. Bundesliga,11,3,320,3.6,1,1,2,1,0,0,0,0,0.2,0.2,0.8,0.9,15,17,40,0.28,0.28,0.56,0.28,0.56,0.04,0.21,0.26,0.04,0.26,Matches,,,,,,
Douglas Costa,2024-2025,33,Sydney FC,au AUS,1. A-League,4,4,266,3.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Joshua Zirkzee,2020-2021,19,Bayern Munich II,de GER,3. 3. Liga,4,4,288,3.2,0,1,1,0,0,0,0,1,,,,,,,,0.00,0.31,0.31,0.00,0.31,,,,,,Matches,,,,,,
Joshua Zirkzee,2021-2022,20,Anderlecht,be BEL,1. First Division A,32,28,2077,23.1,15,7,22,15,0,0,2,0,11.7,11.7,5.7,17.4,31,66,190,0.65,0.30,0.95,0.65,0.95,0.51,0.25,0.75,0.51,0.75,Matches,,,,,,
Joshua Zirkzee,2022-2023,21,Bayern Munich,de GER,1. Bundesliga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Joshua Zirkzee,2023-2024,22,Bologna,it ITA,Coppa Italia,3,1,170,1.9,1,2,3,1,0,0,0,0,,,,,,,,0.53,1.06,1.59,0.53,1.59,,,,,,Matches,,,,,,
Joshua Zirkzee,2024-2025,23,Manchester Utd,eng ENG,EFL Cup,2,1,112,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Alexander Nubel,2020-2021,23,Bayern Munich,de GER,1. Bundesliga,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Alexander Nubel,2021-2022,24,Monaco,fr FRA,Coupe de France,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Alexander Nubel,2022-2023,25,Monaco,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Alexander Nubel,2023-2024,26,Stuttgart,de GER,1. Bundesliga,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
