Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,Playing Time : MP
Timothy Weah,2023-2024,23,Juventus,it ITA,Coppa Italia,5,1,136,1.5,1,1,2,1,0,0,1,0,,,,,,,,0.66,0.66,1.32,0.66,1.32,,,,,,Matches,,
Timothy Weah,2024-2025,24,Juventus,,1. Champions Lg,5,1,193,2.1,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,9,6,15,0.00,0.47,0.47,0.00,0.47,0.02,0.26,0.28,0.02,0.28,Matches,,
Rocco Ascone,2020-2021,16,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Rocco Ascone,2021-2022,17,Lille,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Rocco Ascone,2022-2023,18,Nordsjælland,dk DEN,1. Danish Superliga,12,5,349,3.9,2,0,2,2,0,0,1,0,,,,,,,,0.52,0.00,0.52,0.52,0.52,,,,,,Matches,,
Rocco Ascone,2023-2024,19,Nordsjælland,,3. Conf Lg,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,
Rocco Ascone,2024-2025,20,Nordsjælland,dk DEN,1. Danish Superliga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Jose Bica,2020-2021,17,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Jose Bica,2021-2022,18,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Jose Bica,2024-2025,21,Vitória,,3. Conf Lg,3,0,44,0.5,0,0,0,0,0,0,0,0,1.5,1.5,0.1,1.6,2,2,7,0.00,0.00,0.00,0.00,0.00,2.99,0.18,3.18,2.99,3.18,Matches,,
Nassim Innocenti,2020-2021,18,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
