Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Playing Time
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,Matches,Matches,MP
Christian Eriksen,2020-2021,28,Inter,,1. Champions Lg,4,1,101,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,11,6,0.00,0.00,0.00,0.00,0.00,0.30,0.36,0.66,0.30,0.66,Matches,,,,,,
Christian Eriksen,2021-2022,29,Brentford,eng ENG,1. Premier League,11,10,939,10.4,1,4,5,1,0,0,1,0,1.3,1.3,3.5,4.8,21,82,22,0.10,0.38,0.48,0.10,0.48,0.12,0.34,0.46,0.12,0.46,Matches,,,,,,
Christian Eriksen,2022-2023,30,Manchester Utd,eng ENG,EFL Cup,4,2,220,2.4,1,0,1,1,0,0,0,0,,,,,,,,0.41,0.00,0.41,0.41,0.41,,,,,,Matches,,,,,,
Christian Eriksen,2023-2024,31,Manchester Utd,,1. Champions Lg,4,2,203,2.3,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.8,1,22,1,0.00,0.44,0.44,0.00,0.44,0.16,0.21,0.37,0.16,0.37,Matches,,,,,,
Christian Eriksen,2024-2025,32,Manchester Utd,eng ENG,EFL Cup,1,1,90,1.0,2,1,3,2,0,0,0,0,,,,,,,,2.00,1.00,3.00,2.00,3.00,,,,,,Matches,,,,,,
Ashley Young,2020-2021,35,Inter,,1. Champions Lg,5,5,417,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,8,9,27,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.11,0.03,0.11,Matches,,,,,,
Ashley Young,2021-2022,36,Aston Villa,eng ENG,EFL Cup,1,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ashley Young,2022-2023,37,Aston Villa,eng ENG,EFL Cup,2,2,163,1.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ashley Young,2023-2024,38,Everton,eng ENG,EFL Cup,3,1,180,2.0,1,0,1,1,0,0,0,0,,,,,,,,0.50,0.00,0.50,0.50,0.50,,,,,,Matches,,,,,,
Ashley Young,2024-2025,39,Everton,eng ENG,EFL Cup,2,0,83,0.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
