Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches
Pierre Hojbjerg,2020-2021,24,Tottenham,eng ENG,EFL Cup,4,3,286,3.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Pierre Hojbjerg,2021-2022,25,Tottenham,,3. Conf Lg,4,1,184,2.0,1,0,1,1,0,0,0,0,0.5,0.5,0.7,1.2,4,19,2,0.49,0.00,0.49,0.49,0.49,0.26,0.34,0.60,0.26,0.60,Matches,,,,,
Pierre Hojbjerg,2022-2023,26,Tottenham,,1. Champions Lg,7,7,624,6.9,1,2,3,1,0,0,3,0,0.3,0.3,0.5,0.8,7,40,14,0.14,0.29,0.43,0.14,0.43,0.05,0.07,0.12,0.05,0.12,Matches,,,,,
Pierre Hojbjerg,2023-2024,27,Tottenham,eng ENG,EFL Cup,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Pierre Hojbjerg,2024-2025,28,Marseille,fr FRA,1. Ligue 1,14,14,1255,13.9,2,0,2,2,0,0,2,0,1.2,1.2,0.5,1.8,19,107,18,0.14,0.00,0.14,0.14,0.14,0.09,0.04,0.13,0.09,0.13,Matches,,,,,
Mason Greenwood,2020-2021,18,Manchester Utd,,1. Champions Lg,5,2,211,2.3,1,1,2,1,0,0,0,0,1.2,1.2,0.4,1.6,7,7,15,0.43,0.43,0.85,0.43,0.85,0.52,0.17,0.69,0.52,0.69,Matches,,,,,
Mason Greenwood,2021-2022,19,Manchester Utd,,1. Champions Lg,4,3,303,3.4,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.0,6,12,32,0.30,0.30,0.59,0.30,0.59,0.05,0.26,0.31,0.05,0.31,Matches,,,,,
Mason Greenwood,2023-2024,21,Getafe,es ESP,Copa del Rey,3,3,238,2.6,2,0,2,2,0,0,0,0,,,,,,,,0.76,0.00,0.76,0.76,0.76,,,,,,Matches,,,,,
Mason Greenwood,2024-2025,22,Marseille,fr FRA,1. Ligue 1,14,14,1190,13.2,10,1,11,7,3,4,1,0,5.9,2.7,1.9,4.5,62,51,121,0.76,0.08,0.83,0.53,0.61,0.45,0.14,0.59,0.20,0.34,Matches,,,,,
Leonardo Balerdi,2020-2021,21,Marseille,,1. Champions Lg,3,3,249,2.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,,,,,
