Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Playing Time : MP,LgRank
Alonzo Engwanda,2023-2024,20.0,RSC Anderlecht U23,be BEL,2. Pro League B,,17.0,1563.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,,12th
Amar Ahmed,2024-2025,20.0,Willem II,nl NED,1. Eredivisie,9.0,1.0,231.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,7.0,10.0,19.0,0.39,0.0,0.39,0.39,0.39,0.1,0.09,0.19,0.1,0.19,Matches,,
Amar Ahmed,2023-2024,19.0,Lommel SK,be BEL,2. Pro League B,13.0,4.0,476.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.19,0.0,0.19,0.19,0.19,,,,,,Matches,,
Amar Ahmed,2022-2023,18.0,Troyes,fr FRA,Coupe de France,1.0,1.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Amara Conde,2020-2021,23.0,Rot-Weiss Essen,de GER,DFB-Pokal,3.0,2.0,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.52,0.52,0.0,0.52,,,,,,Matches,,
Amara Conde,2021-2022,24.0,Magdeburg,de GER,3. 3. Liga,35.0,35.0,3020.0,33.6,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,,,,,,,,0.15,0.12,0.27,0.15,0.27,,,,,,Matches,,
Amara Conde,2022-2023,25.0,Magdeburg,de GER,2. 2. Bundesliga,29.0,25.0,2188.0,24.3,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,3.0,3.0,2.2,5.2,32.0,138.0,41.0,0.12,0.12,0.25,0.12,0.25,0.12,0.09,0.21,0.12,0.21,Matches,,
Amara Conde,2017-2018,20.0,Holstein Kiel,de GER,2. 2. Bundesliga,6.0,1.0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,,
Amara Conde,2024-2025,27.0,Heerenveen,nl NED,1. Eredivisie,7.0,6.0,425.0,4.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,4.0,22.0,3.0,0.0,0.21,0.21,0.0,0.21,0.01,0.04,0.05,0.01,0.05,Matches,,
Amara Conde,2023-2024,26.0,Magdeburg,de GER,2. 2. Bundesliga,29.0,25.0,1951.0,21.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.0,2.4,51.0,122.0,79.0,0.05,0.09,0.14,0.05,0.14,0.06,0.05,0.11,0.06,0.11,Matches,,
Amine Lachkar,2022-2023,19.0,Willem II,nl NED,2. Eerste Divisie,,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,4th
Amine Lachkar,2023-2024,20.0,Willem II,nl NED,2. Eerste Divisie,,4.0,560.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,0.0,0.16,0.16,0.0,0.16,,,,,,,,1st
Amine Lachkar,2024-2025,21.0,Willem II,nl NED,1. Eredivisie,,14.0,1171.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.6,10.0,54.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,,,9th
Ander Herrera,2018-2019,28.0,Manchester Utd,,1. Champions Lg,2.0,2.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.12,0.09,0.12,Matches,,
